receipt number,PD,notice date,days,month
src2190250434,2021-06-11 00:00:00,2021-12-23 00:00:00,195,21-Dec
src2090467222,2020-09-08 00:00:00,2021-12-23 00:00:00,471,21-Dec
src2190249712,2021-06-11 00:00:00,2021-12-23 00:00:00,195,21-Dec
src2190249728,2021-06-11 00:00:00,2021-12-23 00:00:00,195,21-Dec
src2190183167,2021-02-23 00:00:00,2021-12-23 00:00:00,303,21-Dec
src2190179928,2021-02-19 00:00:00,2021-12-23 00:00:00,307,21-Dec
src2090136893,2020-01-17 00:00:00,2021-12-23 00:00:00,706,21-Dec
src2190246849,2021-06-08 00:00:00,2021-12-23 00:00:00,198,21-Dec
src2190260741,2021-06-28 00:00:00,2021-12-23 00:00:00,178,21-Dec
src2190246243,2021-06-07 00:00:00,2021-12-24 00:00:00,200,21-Dec
src2190183187,2021-02-23 00:00:00,2021-12-27 00:00:00,307,21-Dec
src2190179996,2021-02-19 00:00:00,2021-12-28 00:00:00,312,21-Dec
src2190213416,2021-04-15 00:00:00,2021-12-28 00:00:00,257,21-Dec
src2190243875,2021-06-02 00:00:00,2021-12-28 00:00:00,209,21-Dec
src2190208412,2021-04-06 00:00:00,2021-12-28 00:00:00,266,21-Dec
src2190209799,2021-04-08 00:00:00,2021-12-28 00:00:00,264,21-Dec
src2190150724,2020-12-24 00:00:00,2021-12-29 00:00:00,370,21-Dec
src2190243878,2021-06-02 00:00:00,2021-12-29 00:00:00,210,21-Dec
src2190211799,2021-04-12 00:00:00,2021-12-29 00:00:00,261,21-Dec
src2190200618,2021-03-22 00:00:00,2021-12-29 00:00:00,282,21-Dec
src2190152084,2020-12-28 00:00:00,2021-12-29 00:00:00,366,21-Dec
src2190221631,2021-04-29 00:00:00,2022-01-11 00:00:00,257,22-Jan
src2190218971,2021-04-23 00:00:00,2022-01-11 00:00:00,263,22-Jan
src2190204284,2021-03-30 00:00:00,2022-01-11 00:00:00,287,22-Jan
src2190282520,2021-07-29 00:00:00,2022-01-11 00:00:00,166,22-Jan
src2190209771,2021-04-09 00:00:00,2022-01-11 00:00:00,277,22-Jan
src2190253511,2021-06-18 00:00:00,2022-01-11 00:00:00,207,22-Jan
src2190297482,2021-08-19 00:00:00,2022-01-11 00:00:00,145,22-Jan
src2190229712,2021-05-11 00:00:00,2022-01-11 00:00:00,245,22-Jan
src2190145279,2020-12-09 00:00:00,2022-01-11 00:00:00,398,22-Jan
src2190233466,2021-05-14 00:00:00,2022-01-11 00:00:00,242,22-Jan
src2190240139,2021-05-28 00:00:00,2022-01-12 00:00:00,229,22-Jan
src2190274943,2021-07-19 00:00:00,2022-01-12 00:00:00,177,22-Jan
src2190219808,2021-04-27 00:00:00,2022-01-12 00:00:00,260,22-Jan
src2190271131,2021-07-13 00:00:00,2022-01-13 00:00:00,184,22-Jan
src2190165981,2021-01-19 00:00:00,2022-01-13 00:00:00,359,22-Jan
src2190280489,2021-07-27 00:00:00,2022-01-14 00:00:00,171,22-Jan
src2190186332,2021-03-01 00:00:00,2021-12-28 00:00:00,302,21-Dec
src2190313162,2021-09-14 00:00:00,2021-12-30 00:00:00,107,21-Dec
src2090466956,2020-09-08 00:00:00,2022-01-03 00:00:00,482,22-Jan
src2190200620,2021-03-22 00:00:00,2022-01-03 00:00:00,287,22-Jan
src2190168967,2021-01-22 00:00:00,2022-01-03 00:00:00,346,22-Jan
src2190205490,2021-04-01 00:00:00,2022-01-03 00:00:00,277,22-Jan
src2190238703,2021-05-24 00:00:00,2022-01-04 00:00:00,225,22-Jan
src2190247157,2021-06-08 00:00:00,2022-01-04 00:00:00,210,22-Jan
src2290020665,2021-11-03 00:00:00,2022-01-04 00:00:00,62,22-Jan
src2190187860,2021-03-02 00:00:00,2022-01-04 00:00:00,308,22-Jan
src2190187857,2021-03-02 00:00:00,2022-01-04 00:00:00,308,22-Jan
src2190255692,2021-06-21 00:00:00,2022-01-04 00:00:00,197,22-Jan
